episode,timestep,reward,length,kill,death,crash,lock_progress,distance
1,50,0.4141,50,0,0,1,0.0000,12.1074
2,100,0.3852,50,0,0,1,0.0000,11.5671
3,150,0.4091,50,0,0,1,0.0000,11.2375
4,200,0.4164,50,0,0,1,0.0000,11.9849
5,250,0.3940,50,0,0,1,0.0000,11.5936
6,293,50.3887,43,0,0,1,0.0000,10.6087
7,343,0.4468,50,0,0,1,0.0000,11.4661
8,393,0.4606,50,0,0,1,0.0000,10.2472
9,439,50.4310,46,0,0,1,0.0000,10.1963
10,489,0.4372,50,0,0,1,0.0000,11.1706
11,528,50.3378,39,0,0,1,0.0000,11.3287
12,578,0.4727,50,0,0,1,0.0000,10.2893
13,628,0.4090,50,0,0,1,0.0000,11.7959
14,678,0.4556,50,0,0,1,0.0000,10.6330
15,728,0.3955,50,0,0,1,0.0000,12.4352
16,778,0.4229,50,0,0,1,0.0000,11.0098
17,828,0.4749,50,0,0,1,0.0000,10.4633
18,878,0.4331,50,0,0,1,0.0000,10.7558
19,923,-49.6114,45,0,0,1,0.0000,11.9285
20,958,50.3200,35,0,0,1,0.0000,10.6012
21,1008,0.4403,50,0,0,1,0.0000,11.3379
